0,330
1,390
2,399
3,398
4,407
5,406
6,405
7,420
8,419
9,418
10,430
11,432
12,436
13,443
14,447
15,446
16,445
17,447
18,446
19,448
20,447
21,446
22,445
23,445
24,445
25,446
26,450
27,449
28,448
29,447
30,446
31,445
32,444
33,443
34,442
35,441
36,446
37,445
38,446
39,445
40,444
41,443
42,445
43,448
44,447
45,446
46,445
47,444
48,443
49,442
50,441
51,440
52,439
53,438
54,442
55,441
56,440
57,439
58,440
59,441
60,440
61,440
62,439
63,439
64,439
65,438
66,437
67,439
68,438
69,437
70,436
71,441
72,440
73,442
74,441
75,440
76,439
77,440
78,439
79,439
80,438
81,437
82,436
83,437
84,436
85,435
86,434
87,440
88,439
89,438
90,437
91,436
